AGENT_CODE_HASH,ODA,TERRITORY,BIRTHDATE,SEX_CODE,MARITAL_STATUS,AGE,IS_TERMINATED,YEARS_IN_COMPANY,IS_ACTIVATED_WITHIN_A_YEAR,LICENSE_TYPE_CODE,Ave_Training_Duration,Trainings_Attended,HAS_TRAINING
6462715281064390423,2019-08-29,TERRITORY 6 - MINDANAO,1993-02-09,M,S,29,1,2,1, V,0.0,0.0,No
5054758713889885520,2019-09-13,TERRITORY 1 - NORTH AND CENTRAL LUZON,1994-08-31,M,S,25,1,0,0, V,0.0,0.0,No
5356906736699284146,2019-09-17,TERRITORY 1 - NORTH AND CENTRAL LUZON,1970-09-04,M,M,51,1,2,1, V,0.0,0.0,No
12980823066446774736,2019-09-18,TERRITORY 3 - VISAYAS,1988-02-02,F,S,33,1,1,0, V,0.0,0.0,No
1226948623290668842,2019-09-20,TERRITORY 1 - NORTH AND CENTRAL LUZON,1977-06-23,F,S,43,1,1,0, V,0.0,0.0,No
400643837440897164,2019-09-26,TERRITORY 2 - METRO MANILA,1972-10-11,F,S,48,1,1,0, V,0.0,0.0,No
18087584245785359238,2019-09-27,TERRITORY 1 - NORTH AND CENTRAL LUZON,1961-04-21,F,W,61,0,3,1,L V,1.5,2.0,Yes
9840822352769473684,2019-09-30,TERRITORY 4 - SOUTH LUZON,1975-02-04,M,S,45,1,1,0, V,0.0,0.0,No
4852483456093192650,2019-09-30,TERRITORY 3 - VISAYAS,1965-04-26,M,M,57,0,3,1, V,0.0,0.0,No
18244474055438731166,2019-09-30,TERRITORY 4 - SOUTH LUZON,1966-12-09,F,M,54,1,1,0, V,0.0,0.0,No
10664999180102171487,2019-10-01,TERRITORY 3 - VISAYAS,1990-10-30,F,S,30,1,1,0, V,0.0,0.0,No
6480470714663479082,2019-10-03,TERRITORY 2 - METRO MANILA,1987-03-27,M,S,33,1,0,0, V,0.0,0.0,No
834903563646961473,2019-10-08,TERRITORY 3 - VISAYAS,1962-05-28,F,S,59,1,2,0, V,0.0,0.0,No
14521689314302211824,2019-10-08,TERRITORY 2 - METRO MANILA,1992-11-20,M,S,29,1,2,0, V,0.0,0.0,No
12114167058574217457,2019-10-08,TERRITORY 3 - VISAYAS,1966-05-28,F,M,54,1,1,0, V,0.0,0.0,No
8029931030140754837,2021-06-02,TERRITORY 3 - VISAYAS,1998-03-25,M,S,24,0,1,1, V,0.0,0.0,No
4212409711347090785,2021-06-22,TERRITORY 3 - VISAYAS,1967-12-12,F,M,55,0,1,0, V,0.0,0.0,No
1028874220113469716,2019-10-10,TERRITORY 3 - VISAYAS,1997-01-07,F,S,24,1,1,0, V,0.0,0.0,No
17548459526043919702,2019-10-16,TERRITORY 3 - VISAYAS,1999-08-23,F,S,21,1,1,0, V,0.0,0.0,No
138546033633768652,2019-10-23,TERRITORY 2 - METRO MANILA,1994-02-13,F,S,26,1,1,1, V,0.0,0.0,No
14162801455476117732,2019-10-29,TERRITORY 4 - SOUTH LUZON,1987-06-08,M,S,33,1,1,0, V,0.0,0.0,No
18233524132436238483,2019-10-29,TERRITORY 3 - VISAYAS,1945-10-07,F,M,75,1,1,0, V,0.0,0.0,No
1867065553095148088,2019-11-13,TERRITORY 2 - METRO MANILA,1995-09-08,F,S,27,0,3,1, V,1.25,4.0,Yes
6956866327004181685,2019-11-18,TERRITORY 2 - METRO MANILA,2000-10-16,F,S,19,1,0,0, V,0.0,0.0,No
17642107614873416878,2019-11-20,TERRITORY 1 - NORTH AND CENTRAL LUZON,1972-12-16,F,W,50,0,3,1, V,1.5,2.0,Yes
2879182790492682160,2019-11-29,TERRITORY 3 - VISAYAS,1992-11-28,F,S,30,0,3,0, V,0.0,0.0,No
4158449777299972916,2019-12-11,TERRITORY 1 - NORTH AND CENTRAL LUZON,1975-04-09,F,M,45,1,1,0,L ,0.0,0.0,No
190150631411674061,2019-12-18,TERRITORY 3 - VISAYAS,1997-05-27,F,S,25,0,3,1, V,0.0,0.0,No
17448633210568498155,2020-01-21,TERRITORY 2 - METRO MANILA,1971-02-20,M,M,50,1,2,0, V,0.0,0.0,No
14660594883452629034,2020-01-24,TERRITORY 3 - VISAYAS,1978-05-19,F,M,44,0,3,0, V,1.0,4.0,Yes
2462918834618246214,2020-01-31,TERRITORY 4 - SOUTH LUZON,1989-11-23,M,M,32,1,2,0, V,0.0,0.0,No
4934964555373782570,2020-02-05,TERRITORY 2 - METRO MANILA,1969-09-17,F,S,51,1,1,0,L V,0.0,0.0,No
11839122296727685205,2020-02-10,TERRITORY 3 - VISAYAS,1984-04-16,F,M,36,1,0,0,L V,0.0,0.0,No
7272427966373780981,2020-02-17,TERRITORY 3 - VISAYAS,1999-08-19,F,S,23,0,2,1,L V,0.0,0.0,No
2063785822143258982,2020-02-18,TERRITORY 3 - VISAYAS,1974-06-12,F,W,48,0,2,1, V,0.0,0.0,No
10506800032285358399,2019-09-27,TERRITORY 1 - NORTH AND CENTRAL LUZON,1986-09-19,M,M,36,0,3,1,L V,1.5,2.0,Yes
5796494808236451318,2019-09-30,TERRITORY 4 - SOUTH LUZON,1980-09-23,F,M,41,1,2,1, V,0.0,0.0,No
11423060130446495327,2019-10-02,TERRITORY 2 - METRO MANILA,1986-12-20,F,S,34,1,1,0, V,0.0,0.0,No
12420917361979758255,2019-10-08,TERRITORY 3 - VISAYAS,1995-09-30,F,S,25,1,1,0, V,0.0,0.0,No
17459232646097860321,2019-10-11,TERRITORY 1 - NORTH AND CENTRAL LUZON,1980-01-08,F,M,41,1,1,0, V,0.0,0.0,No
17657051439393560232,2019-10-14,TERRITORY 4 - SOUTH LUZON,1984-01-29,F,M,39,0,3,1, V,1.8,5.0,Yes
4121589077332022613,2019-10-31,TERRITORY 2 - METRO MANILA,1971-03-12,F,S,50,1,2,0, V,0.0,0.0,No
302962425824581590,2019-11-11,TERRITORY 6 - MINDANAO,1977-02-22,M,M,43,1,0,0, V,0.0,0.0,No
6226441576281236863,2019-11-21,TERRITORY 4 - SOUTH LUZON,1986-03-20,F,S,34,1,1,0, V,0.0,0.0,No
5404129050994623259,2019-11-22,TERRITORY 6 - MINDANAO,1969-03-12,F,S,51,1,0,0, V,0.0,0.0,No
17621158794559661637,2019-12-09,TERRITORY 3 - VISAYAS,1996-02-20,M,S,24,1,1,0, V,0.0,0.0,No
10032880003873378956,2019-12-11,TERRITORY 3 - VISAYAS,1976-06-15,F,M,46,0,3,1, V,0.0,0.0,No
9624492542199576110,2020-01-20,TERRITORY 4 - SOUTH LUZON,1955-08-01,F,W,67,0,3,1, V,1.0,2.0,Yes
1846699421397395516,2020-02-05,TERRITORY 4 - SOUTH LUZON,1997-01-08,M,S,26,0,3,1,L V,0.0,0.0,No
8390610182473243794,2020-02-06,TERRITORY 6 - MINDANAO,1986-11-20,F,M,35,1,2,0, V,0.0,0.0,No
10065437850627491180,2020-02-10,TERRITORY 6 - MINDANAO,1988-11-23,F,S,33,1,2,0, V,0.0,0.0,No
3062630771802160823,2020-02-13,TERRITORY 3 - VISAYAS,1983-10-26,F,M,38,1,2,1, V,0.0,0.0,No
6268910292093562058,2020-02-19,TERRITORY 1 - NORTH AND CENTRAL LUZON,1975-04-17,F,M,47,1,2,0, V,0.0,0.0,No
4251767928441823934,2020-03-04,TERRITORY 1 - NORTH AND CENTRAL LUZON,1984-09-30,M,S,36,1,0,0, V,0.0,0.0,No
447445871749260187,2020-03-09,TERRITORY 3 - VISAYAS,1971-09-19,F,M,51,0,2,0, V,0.0,0.0,No
8377753188267192527,2019-10-18,TERRITORY 3 - VISAYAS,1969-04-04,F,M,52,1,2,0, V,0.0,0.0,No
8288292666232215427,2019-10-29,TERRITORY 3 - VISAYAS,1971-04-19,M,M,49,1,1,0, V,0.0,0.0,No
6273225717319303119,2019-11-20,TERRITORY 3 - VISAYAS,1991-08-16,M,S,31,0,3,1, V,0.0,0.0,No
12490442060544451659,2019-11-26,TERRITORY 2 - METRO MANILA,1985-11-10,M,S,37,0,3,0, V,1.5,2.0,Yes
16189925670431060690,2019-11-28,TERRITORY 6 - MINDANAO,1988-04-03,F,M,32,1,1,0, V,0.0,0.0,No
10385816871629913206,2019-12-18,TERRITORY 3 - VISAYAS,1993-06-17,F,S,27,1,1,0, V,0.0,0.0,No
11729673291183320745,2019-12-26,TERRITORY 3 - VISAYAS,1994-08-27,F,S,26,1,1,0, V,0.0,0.0,No
10575540925278608632,2019-12-26,TERRITORY 2 - METRO MANILA,1988-12-29,M,S,33,1,2,0, V,0.0,0.0,No
3255795342877977661,2020-01-31,TERRITORY 3 - VISAYAS,1998-06-06,F,S,24,0,3,1, V,0.0,0.0,No
4880165910382277947,2020-02-04,TERRITORY 4 - SOUTH LUZON,1979-12-21,F,M,43,0,3,1, V,0.0,0.0,No
164264094582539332,2020-02-14,TERRITORY 4 - SOUTH LUZON,1997-06-04,F,S,24,1,2,1, V,0.0,0.0,No
2403176153506051125,2020-02-17,TERRITORY 3 - VISAYAS,1980-08-18,F,S,42,0,2,1, V,0.0,0.0,No
5177816726070076492,2020-02-18,TERRITORY 4 - SOUTH LUZON,1976-10-08,F,M,46,0,2,1,L V,0.0,0.0,No
17911495538865112492,2020-02-18,TERRITORY 3 - VISAYAS,1960-03-02,F,S,60,1,1,0, V,0.0,0.0,No
2381668228816681460,2020-03-06,TERRITORY 3 - VISAYAS,1980-06-11,F,M,41,1,2,0, V,0.0,0.0,No
12340906938145791426,2020-03-11,TERRITORY 2 - METRO MANILA,1969-04-17,M,M,52,1,1,0, V,0.0,0.0,No
418839730239048330,2020-03-12,TERRITORY 2 - METRO MANILA,1962-05-08,M,S,59,1,1,0,L V,0.0,0.0,No
8718785891783739716,2020-03-13,TERRITORY 2 - METRO MANILA,1980-01-08,M,M,42,1,1,0, V,0.0,0.0,No
14841746799740574160,2020-02-28,TERRITORY 1 - NORTH AND CENTRAL LUZON,1995-08-09,F,S,25,1,0,0, V,0.0,0.0,No
9244750264974762561,2020-02-28,TERRITORY 1 - NORTH AND CENTRAL LUZON,1971-06-30,F,M,50,1,2,0, V,0.0,0.0,No
10392619422229439717,2020-02-28,TERRITORY 3 - VISAYAS,1965-10-19,F,M,57,0,2,1, V,0.0,0.0,No
4533769060545511809,2020-03-27,TERRITORY 4 - SOUTH LUZON,1993-08-20,M,S,28,1,2,0, V,0.0,0.0,No
8849101854465757819,2020-06-05,TERRITORY 4 - SOUTH LUZON,1966-06-22,F,M,55,1,1,1, V,0.0,0.0,No
1269274156970732125,2020-06-30,TERRITORY 6 - MINDANAO,1982-08-12,F,M,38,1,0,0, V,0.0,0.0,No
8269706119432873687,2020-07-07,TERRITORY 2 - METRO MANILA,1991-02-28,F,S,30,1,1,0, V,0.0,0.0,No
7580950444687496961,2020-07-14,TERRITORY 4 - SOUTH LUZON,1976-01-20,F,M,45,1,0,0, V,0.0,0.0,No
3687004336026091559,2020-07-21,TERRITORY 3 - VISAYAS,1983-01-10,F,P,40,0,2,1, V,1.0,4.0,Yes
17824395368263474819,2020-07-27,TERRITORY 3 - VISAYAS,1977-03-08,F,M,45,0,2,1, V,0.0,0.0,No
2762795840599682838,2020-07-27,TERRITORY 1 - NORTH AND CENTRAL LUZON,1985-03-27,F,S,37,0,2,1, V,1.0,1.0,Yes
1332548171691532961,2020-07-28,TERRITORY 1 - NORTH AND CENTRAL LUZON,1985-07-10,F,M,37,0,2,1,L V,1.0,4.0,Yes
7445952732250404076,2020-08-04,TERRITORY 2 - METRO MANILA,1985-11-29,M,S,37,0,2,1, V,1.0,8.0,Yes
10324782039563159550,2020-08-06,TERRITORY 2 - METRO MANILA,1975-06-03,F,S,46,1,1,0, V,0.0,0.0,No
3503600213948914742,2020-08-06,TERRITORY 1 - NORTH AND CENTRAL LUZON,1993-09-19,F,S,28,1,1,0,L V,0.0,0.0,No
297058724519391441,2020-08-13,TERRITORY 3 - VISAYAS,1973-12-11,F,M,49,0,2,0, V,1.0,5.0,Yes
18071873660644620752,2020-08-20,TERRITORY 3 - VISAYAS,1999-01-26,F,S,24,0,2,1, V,1.0,5.0,Yes
11226037509250023179,2020-08-25,TERRITORY 3 - VISAYAS,1975-08-03,F,M,47,0,2,0, V,1.0,4.0,Yes
3848662254641158879,2020-08-28,TERRITORY 4 - SOUTH LUZON,1987-12-16,M,S,34,1,1,0, V,0.0,0.0,No
838381484566528925,2018-08-06,TERRITORY 6 - MINDANAO,1970-03-29,F,W,52,0,4,1, V,2.3333333333333335,3.0,Yes
6661570751426058153,2018-08-06,TERRITORY 6 - MINDANAO,1984-01-21,F,S,39,0,4,1,L V,0.0,0.0,No
8750816249235593180,2018-08-15,TERRITORY 4 - SOUTH LUZON,1997-07-19,F,S,24,1,3,0,L V,0.0,0.0,No
897398898922907641,2018-08-16,TERRITORY 4 - SOUTH LUZON,1992-07-04,M,S,29,1,3,0, V,0.0,0.0,No
1779726534824503287,2018-08-23,TERRITORY 6 - MINDANAO,1990-02-01,F,M,29,1,1,0, V,0.0,0.0,No
3784178269417490382,2018-09-04,TERRITORY 2 - METRO MANILA,1950-12-07,M,M,69,1,2,0, V,0.0,0.0,No
5096067614110905899,2018-09-05,TERRITORY 2 - METRO MANILA,1979-06-21,F,M,43,0,4,1,L V,3.0,2.0,Yes
1379913769944923171,2018-09-06,TERRITORY 6 - MINDANAO,1987-04-15,M,M,33,1,2,0, V,0.0,0.0,No
9158777614194310682,2018-09-07,TERRITORY 2 - METRO MANILA,1994-03-23,F,S,26,1,2,0, V,0.0,0.0,No
14852643170727715053,2018-09-18,TERRITORY 4 - SOUTH LUZON,1993-09-05,M,S,27,1,2,0, V,0.0,0.0,No
5300374788597549570,2018-09-24,TERRITORY 1 - NORTH AND CENTRAL LUZON,1998-01-11,M,S,21,1,0,0, V,0.0,0.0,No
3852393564690123558,2018-09-25,TERRITORY 4 - SOUTH LUZON,1990-05-17,M,S,30,1,2,0, V,0.0,0.0,No
3564305620302995779,2018-09-27,TERRITORY 2 - METRO MANILA,1996-06-21,M,S,24,1,2,0, V,0.0,0.0,No
13674214326940667462,2018-10-04,TERRITORY 3 - VISAYAS,1987-01-14,F,S,36,0,4,1, V,0.0,0.0,No
4004423434431326980,2018-10-04,TERRITORY 3 - VISAYAS,1986-04-22,F,M,33,1,0,0, V,0.0,0.0,No
14963247861338099497,2018-10-04,TERRITORY 3 - VISAYAS,1983-05-16,M,M,39,0,4,1, V,4.0,1.0,Yes
2582945843134447118,2018-10-12,TERRITORY 1 - NORTH AND CENTRAL LUZON,1980-09-23,F,S,42,0,4,1, V,0.0,0.0,No
6464742892269966728,2018-10-19,TERRITORY 3 - VISAYAS,1978-06-04,F,M,43,1,3,0, V,0.0,0.0,No
17897502558021254317,2018-10-29,TERRITORY 1 - NORTH AND CENTRAL LUZON,1988-08-14,M,S,30,1,0,0, V,0.0,0.0,No
2260693979924717592,2018-11-14,TERRITORY 2 - METRO MANILA,1997-05-30,F,S,22,1,0,0, V,0.0,0.0,No
4199789317026096196,2018-04-27,TERRITORY 1 - NORTH AND CENTRAL LUZON,1976-02-24,F,M,43,1,1,0, V,0.0,0.0,No
7213877580969792045,2018-04-30,TERRITORY 4 - SOUTH LUZON,1980-12-05,M,S,40,1,2,0, V,0.0,0.0,No
1380789953553809287,2018-04-30,TERRITORY 1 - NORTH AND CENTRAL LUZON,1971-05-19,F,M,49,1,2,0,L V,0.0,0.0,No
1249468122143505138,2018-05-02,TERRITORY 4 - SOUTH LUZON,1984-09-05,F,S,35,1,1,0, V,0.0,0.0,No
14861501977577099418,2018-05-02,TERRITORY 4 - SOUTH LUZON,1968-05-02,F,S,52,1,2,0, V,0.0,0.0,No
2009386839769639910,2018-05-02,TERRITORY 4 - SOUTH LUZON,1980-06-07,M,M,40,1,2,0, V,0.0,0.0,No
2406898924234644566,2018-05-07,TERRITORY 2 - METRO MANILA,1983-04-22,F,S,37,1,2,0, V,0.0,0.0,No
5649378131808570301,2018-05-07,TERRITORY 1 - NORTH AND CENTRAL LUZON,1983-12-02,F,M,35,1,0,0, V,0.0,0.0,No
13661643219127984980,2018-05-07,TERRITORY 1 - NORTH AND CENTRAL LUZON,1997-03-27,M,S,25,0,4,1, V,4.0,1.0,Yes
17096033030873647508,2018-05-15,TERRITORY 1 - NORTH AND CENTRAL LUZON,1947-07-31,F,W,71,1,0,0, V,0.0,0.0,No
15994020399800666713,2018-05-15,TERRITORY 4 - SOUTH LUZON,1996-12-23,M,S,24,1,2,0, V,0.0,0.0,No
16066242239107818384,2018-05-16,TERRITORY 6 - MINDANAO,1990-03-23,F,M,32,0,4,0, V,4.0,1.0,Yes
11070855772463496888,2018-05-22,TERRITORY 4 - SOUTH LUZON,1949-05-12,F,W,71,1,2,0, V,0.0,0.0,No
2681844293789642513,2018-05-29,TERRITORY 6 - MINDANAO,1990-04-03,F,S,32,0,4,1,L V,2.3333333333333335,3.0,Yes
57775616444759675,2018-05-31,TERRITORY 4 - SOUTH LUZON,1989-12-23,F,S,31,1,2,0, V,0.0,0.0,No
17119735873239704332,2018-05-31,TERRITORY 2 - METRO MANILA,1974-07-11,F,M,46,1,2,0, V,0.0,0.0,No
16575474420620461618,2018-06-06,TERRITORY 2 - METRO MANILA,1996-10-24,F,S,24,1,2,0, V,0.0,0.0,No
983032680265770299,2018-06-06,TERRITORY 2 - METRO MANILA,1984-06-28,F,S,35,1,1,0, V,0.0,0.0,No
17116450745892221438,2018-06-07,TERRITORY 2 - METRO MANILA,1960-12-24,F,M,58,1,1,0, V,0.0,0.0,No
11936347505443440027,2018-06-14,TERRITORY 1 - NORTH AND CENTRAL LUZON,1964-07-20,M,M,54,1,0,0, V,0.0,0.0,No
11545495152351136829,2018-06-20,TERRITORY 2 - METRO MANILA,1986-05-10,M,M,34,1,2,0, V,0.0,0.0,No
9390980365552151094,2018-06-21,TERRITORY 6 - MINDANAO,1984-11-19,F,M,38,0,4,1, V,4.0,1.0,Yes
12469605246108655859,2018-06-27,TERRITORY 3 - VISAYAS,1963-02-22,F,W,58,1,3,0, V,0.0,0.0,No
2043718338676903576,2018-06-28,TERRITORY 1 - NORTH AND CENTRAL LUZON,1993-05-16,M,S,28,1,3,1, V,0.0,0.0,No
13424925620307354928,2018-06-28,TERRITORY 2 - METRO MANILA,1998-10-30,F,S,22,1,2,0, V,0.0,0.0,No
14514260580212882551,2018-06-28,TERRITORY 1 - NORTH AND CENTRAL LUZON,1996-11-19,M,S,22,1,0,0, V,0.0,0.0,No
7597597687958588846,2018-06-29,TERRITORY 4 - SOUTH LUZON,1967-10-11,M,S,51,1,1,0, V,0.0,0.0,No
10314231461826568035,2018-06-29,TERRITORY 6 - MINDANAO,1971-09-25,F,M,49,1,2,0, V,0.0,0.0,No
17978496228854175612,2018-06-29,TERRITORY 3 - VISAYAS,1956-03-26,F,W,66,0,4,1,L V,2.3333333333333335,3.0,Yes
10953246746534272283,2018-07-05,TERRITORY 1 - NORTH AND CENTRAL LUZON,1988-11-03,F,S,30,1,0,0, V,0.0,0.0,No
5311157608641453973,2018-07-06,TERRITORY 2 - METRO MANILA,1979-06-14,F,M,41,1,2,0, V,0.0,0.0,No
13738939525960683643,2018-07-10,TERRITORY 2 - METRO MANILA,1975-09-27,M,M,44,1,1,0, V,0.0,0.0,No
10974749739275891140,2018-08-06,TERRITORY 6 - MINDANAO,1966-10-08,F,M,56,0,4,1, V,2.0,1.0,Yes
2192415729834100378,2018-08-16,TERRITORY 3 - VISAYAS,1975-07-12,F,M,45,1,2,0, V,0.0,0.0,No
9167903370268769139,2018-08-16,TERRITORY 1 - NORTH AND CENTRAL LUZON,1972-05-15,F,S,49,1,3,1, V,0.0,0.0,No
2937014569956848988,2018-08-20,TERRITORY 4 - SOUTH LUZON,1991-12-14,F,S,27,1,1,0, V,0.0,0.0,No
7092915748334322861,2018-08-28,TERRITORY 3 - VISAYAS,1990-01-13,M,S,33,0,4,1, V,4.0,1.0,Yes
4657512865596409029,2018-09-10,TERRITORY 2 - METRO MANILA,1990-12-18,F,S,29,1,1,0, V,0.0,0.0,No
8334362272038643431,2018-09-13,TERRITORY 1 - NORTH AND CENTRAL LUZON,1997-11-06,M,S,21,1,0,0, V,0.0,0.0,No
15702714632190482429,2018-09-14,TERRITORY 1 - NORTH AND CENTRAL LUZON,1980-12-06,F,S,41,1,3,0, V,0.0,0.0,No
12331777052702609093,2018-09-17,TERRITORY 4 - SOUTH LUZON,1963-07-03,M,M,59,0,4,1, V,2.5,2.0,Yes
5454712209451830065,2018-09-27,TERRITORY 1 - NORTH AND CENTRAL LUZON,1996-08-01,F,S,23,1,0,0, V,0.0,0.0,No
4341329871024515681,2020-02-19,TERRITORY 6 - MINDANAO,1989-08-13,F,M,32,1,2,0, V,0.0,0.0,No
17137850543402721715,2020-02-20,TERRITORY 3 - VISAYAS,1981-03-17,M,M,41,0,2,0,L V,0.0,0.0,No
16697286222877242664,2020-02-21,TERRITORY 1 - NORTH AND CENTRAL LUZON,1982-08-27,F,M,40,0,2,1, V,1.0,2.0,Yes
14291653610196291629,2020-02-28,TERRITORY 3 - VISAYAS,1993-05-27,F,M,29,0,2,1, V,1.0,3.0,Yes
9679434753234600955,2020-03-06,TERRITORY 4 - SOUTH LUZON,1996-01-01,F,S,27,0,2,1, V,1.0,4.0,Yes
9405277322904822235,2020-03-06,TERRITORY 4 - SOUTH LUZON,1990-01-15,F,S,32,1,2,0, V,0.0,0.0,No
7339914067392305185,2020-03-09,TERRITORY 2 - METRO MANILA,1970-07-17,M,M,50,1,0,0, V,0.0,0.0,No
13045352827702757090,2020-03-10,TERRITORY 2 - METRO MANILA,1985-02-10,M,S,38,0,2,1, V,0.0,0.0,No
17464269699981501267,2020-03-10,TERRITORY 2 - METRO MANILA,1981-09-07,F,S,39,1,0,0, V,0.0,0.0,No
2309851252612016312,2020-03-10,TERRITORY 6 - MINDANAO,1993-10-17,F,S,29,0,2,1, V,0.0,0.0,No
17222935294161504886,2020-03-30,TERRITORY 4 - SOUTH LUZON,1980-07-04,M,S,41,1,2,0, V,0.0,0.0,No
12552106005182766079,2020-03-30,TERRITORY 4 - SOUTH LUZON,1964-04-03,M,M,58,1,2,0, V,0.0,0.0,No
12118986537167853455,2020-03-30,TERRITORY 3 - VISAYAS,1997-07-11,M,S,25,0,2,0, V,1.0,1.0,Yes
9456281493021722903,2020-04-08,TERRITORY 6 - MINDANAO,1989-08-09,F,M,32,1,2,0, V,0.0,0.0,No
6137696545892791995,2020-06-08,TERRITORY 4 - SOUTH LUZON,1959-11-10,M,M,63,0,2,1, V,1.0,5.0,Yes
677210584295200671,2020-06-11,TERRITORY 3 - VISAYAS,1992-03-15,F,M,30,0,2,0, V,0.0,0.0,No
10441871554359318110,2020-06-11,TERRITORY 6 - MINDANAO,1992-07-30,F,S,30,0,2,1,L V,1.0,6.0,Yes
10376898386548300495,2020-06-25,TERRITORY 2 - METRO MANILA,1990-05-29,F,S,32,0,2,0, V,0.0,0.0,No
16851933725842982053,2020-06-30,TERRITORY 2 - METRO MANILA,1977-12-18,F,M,45,0,2,1, V,1.0,7.0,Yes
4130204722339027383,2020-07-01,TERRITORY 2 - METRO MANILA,1982-01-04,F,S,41,0,2,1,L V,1.0,8.0,Yes
