customer_id,age,sex,region,major_region,married,no_of_children,has_children,in_luzon,is_married,ave_days_booking_departure,ave_guests,ave_spend_per_booking,total_flights,min_guests,max_guests,ave_spend_per_booking_per_guest,Generation
22,45,F,Region 1 - Ilocos,Luzon,False,0,0,1,0,42.0,3.0,13140.10612456263,2,3,3,4380.03537485421,Generation X
23,24,F,Region 5 - Bicol,Luzon,False,0,0,1,0,12.0,1.0,6657.14793926773,1,1,1,6657.14793926773,Generation Z
24,15,M,MIMAROPA,Luzon,False,0,0,1,0,42.333333333333336,2.0,7975.363764761787,3,1,4,3987.6818823808935,Generation Z
25,15,M,Region 5 - Bicol,Luzon,True,0,0,1,1,15.0,2.0,1337.74610883257,1,2,2,668.873054416285,Generation Z
26,48,F,Region 3 - Central Luzon,Luzon,True,0,0,1,1,12.0,2.0,4772.05163712124,1,2,2,2386.02581856062,Generation X
27,25,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,61.0,2.0,18767.329409505102,2,1,3,9383.664704752551,Generation Z
28,36,M,Region 7 - C. Visayas,Visayas,False,0,0,0,0,18.0,1.0,2021.75154918012,1,1,1,2021.75154918012,Millennial
29,36,M,MIMAROPA,Luzon,True,1,1,1,1,47.0,2.0,29987.510912721045,3,1,3,14993.755456360523,Millennial
30,28,F,BARMM,Mindanao,False,0,0,0,0,60.0,1.0,12579.577025107576,2,1,1,12579.577025107576,Millennial
31,38,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,50.333333333333336,1.6666666666666667,9619.710907243616,3,1,3,5771.82654434617,Millennial
32,52,F,BARMM,Mindanao,True,0,0,0,1,10.0,3.0,10741.2815856366,1,3,3,3580.4271952122,Generation X
33,50,F,Region 4 - CALABARZON,Luzon,True,1,1,1,1,51.5,2.0,19215.989083062872,2,1,3,9607.994541531436,Generation X
34,46,M,Region 7 - C. Visayas,Visayas,True,2,1,0,1,70.0,2.0,15767.1079563309,1,2,2,7883.55397816545,Generation X
35,33,F,Region 7 - C. Visayas,Visayas,False,0,0,0,0,16.0,1.0,3111.5881564962147,2,1,1,3111.5881564962147,Millennial
36,35,F,Region 2 - Cagayan,Luzon,True,2,1,1,1,55.666666666666664,2.3333333333333335,10928.300380202527,3,2,3,4683.557305801082,Millennial
37,27,F,Region 4 - CALABARZON,Luzon,False,1,1,1,0,11.0,3.0,4013.60510141929,1,3,3,1337.8683671397632,Millennial
38,15,F,Region 11 - Davao,Mindanao,False,0,0,0,0,37.5,1.0,3959.158304321,2,1,1,3959.158304321,Generation Z
39,48,M,Region 3 - Central Luzon,Luzon,True,0,0,1,1,35.0,1.5,11058.1949791922,2,1,2,7372.129986128133,Generation X
40,30,F,Region 7 - C. Visayas,Visayas,False,0,0,0,0,55.0,1.6666666666666667,7890.4576957518,3,1,3,4734.27461745108,Millennial
41,41,M,Region 2 - Cagayan,Luzon,False,0,0,1,0,58.0,1.0,9250.69487954406,1,1,1,9250.69487954406,Millennial
42,15,F,Region 8 - E. Visayas,Visayas,False,0,0,0,0,66.5,1.0,15321.788090211314,2,1,1,15321.788090211314,Generation Z
43,19,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,14.666666666666666,4.0,3338.9450630169435,3,1,8,834.7362657542359,Generation Z
44,39,F,NCR,Luzon,False,0,0,1,0,32.333333333333336,2.3333333333333335,9149.936228274824,3,1,5,3921.40124068921,Millennial
45,39,Other,Region 10 - N. Mindanao,Mindanao,True,0,0,0,1,15.5,2.5,11840.92516831385,2,2,3,4736.37006732554,Millennial
46,45,F,Region 1 - Ilocos,Luzon,True,1,1,1,1,18.0,3.0,11794.4808211729,1,3,3,3931.493607057633,Generation X
47,16,F,NCR,Luzon,False,0,0,1,0,44.0,1.0,4140.15538423832,2,1,1,4140.15538423832,Generation Z
48,36,F,Region 2 - Cagayan,Luzon,True,1,1,1,1,27.0,5.5,6408.796906828659,2,4,7,1165.2358012415743,Millennial
49,36,F,Region 12 - SOCCKSARGEN,Mindanao,False,0,0,0,0,56.0,3.0,6539.28700736199,1,3,3,2179.76233578733,Millennial
50,17,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,59.0,1.0,13462.0563352215,1,1,1,13462.0563352215,Generation Z
51,25,F,Region 10 - N. Mindanao,Mindanao,False,0,0,0,0,50.0,1.0,14864.4683200782,1,1,1,14864.4683200782,Generation Z
52,49,F,Region 4 - CALABARZON,Luzon,True,0,0,1,1,57.0,4.0,23965.9200776662,1,4,4,5991.48001941655,Generation X
53,31,F,NCR,Luzon,True,1,1,1,1,32.5,2.0,7556.03622154149,2,2,2,3778.018110770745,Millennial
54,34,F,Region 7 - C. Visayas,Visayas,False,0,0,0,0,44.0,1.0,4980.94460899163,1,1,1,4980.94460899163,Millennial
55,23,M,Region 7 - C. Visayas,Visayas,False,0,0,0,0,17.0,1.0,1000.0,2,1,1,1000.0,Generation Z
56,33,M,Region 11 - Davao,Mindanao,False,0,0,0,0,19.666666666666668,2.6666666666666665,12897.850835175923,3,1,6,4836.694063190971,Millennial
57,37,F,Region 8 - E. Visayas,Visayas,True,0,0,0,1,39.5,2.0,22518.697876415652,2,1,3,11259.348938207826,Millennial
58,38,F,Region 6 - W. Visayas,Visayas,False,0,0,0,0,56.5,1.0,15956.182062602935,2,1,1,15956.182062602935,Millennial
59,51,F,Region 2 - Cagayan,Luzon,True,0,0,1,1,16.25,3.0,6165.333133167903,4,1,5,2055.111044389301,Generation X
60,15,F,Region 2 - Cagayan,Luzon,True,1,1,1,1,17.0,3.0,3492.00354792053,1,3,3,1164.0011826401767,Generation Z
61,31,M,NCR,Luzon,True,0,0,1,1,39.0,4.25,33017.769766253565,4,4,5,7768.887003824369,Millennial
62,17,F,Region 7 - C. Visayas,Visayas,True,0,0,0,1,37.5,3.5,14173.63956091325,2,3,4,4049.6113031180716,Generation Z
63,36,M,Region 4 - CALABARZON,Luzon,True,1,1,1,1,16.0,2.0,5165.57279916303,1,2,2,2582.786399581515,Millennial
64,46,F,Region 4 - CALABARZON,Luzon,True,0,0,1,1,69.0,1.0,5126.65544386179,1,1,1,5126.65544386179,Generation X
65,24,M,BARMM,Mindanao,False,0,0,0,0,30.5,1.0,7828.57901967483,2,1,1,7828.57901967483,Generation Z
66,15,M,Region 12 - SOCCKSARGEN,Mindanao,False,0,0,0,0,49.666666666666664,2.3333333333333335,21219.206388021972,3,1,5,9093.945594866558,Generation Z
67,39,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,31.0,3.3333333333333335,12351.9529022618,3,3,4,3705.5858706785402,Millennial
68,46,Other,Region 6 - W. Visayas,Visayas,True,1,1,0,1,59.0,2.0,23546.9782940182,1,2,2,11773.4891470091,Generation X
69,35,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,38.0,2.0,10328.242216930015,2,1,3,5164.121108465008,Millennial
70,17,M,Region 9 - Zamboanga,Mindanao,False,0,0,0,0,14.0,1.0,3508.24361955326,1,1,1,3508.24361955326,Generation Z
71,31,F,Region 3 - Central Luzon,Luzon,True,1,1,1,1,30.666666666666668,3.0,44923.81403973495,3,2,4,14974.60467991165,Millennial
72,22,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,53.0,1.0,7406.10696465866,1,1,1,7406.10696465866,Generation Z
73,20,F,Region 6 - W. Visayas,Visayas,True,0,0,0,1,18.0,3.6666666666666665,7869.299828010539,3,1,7,2146.172680366511,Generation Z
74,53,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,69.0,2.5,27742.9677758742,2,1,4,11097.18711034968,Generation X
75,44,M,Region 10 - N. Mindanao,Mindanao,False,0,0,0,0,44.666666666666664,1.0,7319.9979839614,3,1,1,7319.9979839614,Generation X
76,39,F,Region 7 - C. Visayas,Visayas,True,0,0,0,1,51.0,6.0,42616.6772315637,1,6,6,7102.77953859395,Millennial
77,38,M,BARMM,Mindanao,True,2,1,0,1,33.5,2.5,10787.230638592535,2,2,3,4314.892255437014,Millennial
78,22,F,Region 4 - CALABARZON,Luzon,True,0,0,1,1,12.5,4.5,6778.07375046787,2,4,5,1506.2386112150823,Generation Z
79,35,M,Region 13 - Caraga,Mindanao,False,0,0,0,0,17.0,1.0,1000.0,1,1,1,1000.0,Millennial
80,40,M,NCR,Luzon,True,0,0,1,1,50.333333333333336,2.6666666666666665,17925.244597607973,3,2,3,6721.96672410299,Millennial
81,36,F,NCR,Luzon,False,0,0,1,0,17.333333333333332,1.6666666666666667,5198.204758135714,3,1,3,3118.922854881428,Millennial
82,40,F,Region 9 - Zamboanga,Mindanao,False,0,0,0,0,59.0,2.0,39588.078022626476,2,1,3,19794.039011313238,Millennial
83,27,M,MIMAROPA,Luzon,False,0,0,1,0,14.0,1.0,6734.36865385782,1,1,1,6734.36865385782,Millennial
84,55,M,Region 13 - Caraga,Mindanao,True,0,0,0,1,42.0,2.0,7424.4973925982595,2,1,3,3712.2486962991297,Generation X
85,40,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,42.0,1.0,9588.360176744616,3,1,1,9588.360176744616,Millennial
86,49,F,NCR,Luzon,True,2,1,1,1,41.0,3.6666666666666665,16827.079479463257,3,3,4,4589.20349439907,Generation X
87,37,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,32.0,2.0,15030.47564256114,2,1,3,7515.23782128057,Millennial
88,27,M,NCR,Luzon,False,0,0,1,0,15.0,1.0,1000.0,1,1,1,1000.0,Millennial
89,35,F,NCR,Luzon,False,0,0,1,0,35.5,2.0,13991.24335520207,2,1,3,6995.621677601035,Millennial
90,38,F,Region 1 - Ilocos,Luzon,False,0,0,1,0,9.5,1.0,3662.78405713406,2,1,1,3662.78405713406,Millennial
91,20,M,Region 9 - Zamboanga,Mindanao,True,1,1,0,1,57.0,1.0,9879.091803382405,2,1,1,9879.091803382405,Generation Z
92,21,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,41.166666666666664,1.3333333333333333,8736.231882369306,6,1,3,6552.173911776979,Generation Z
93,49,M,Region 8 - E. Visayas,Visayas,True,3,1,0,1,12.5,4.0,5282.280168347095,2,3,5,1320.5700420867738,Generation X
94,26,M,Region 3 - Central Luzon,Luzon,True,1,1,1,1,11.0,1.5,4753.15941867751,2,1,2,3168.772945785007,Generation Z
95,20,F,Region 8 - E. Visayas,Visayas,False,0,0,0,0,67.0,2.0,20678.8044117131,2,1,3,10339.40220585655,Generation Z
96,37,M,Region 3 - Central Luzon,Luzon,False,2,1,1,0,61.5,1.0,6354.20808825555,2,1,1,6354.20808825555,Millennial
97,25,M,Region 11 - Davao,Mindanao,False,0,0,0,0,55.0,1.0,8583.62932512167,1,1,1,8583.62932512167,Generation Z
98,52,F,NCR,Luzon,False,0,0,1,0,15.0,1.0,1000.0,1,1,1,1000.0,Generation X
99,24,M,Region 6 - W. Visayas,Visayas,False,0,0,0,0,11.0,1.0,1913.91675995874,1,1,1,1913.91675995874,Generation Z
100,23,F,BARMM,Mindanao,False,0,0,0,0,16.0,1.0,1520.769641746405,2,1,1,1520.769641746405,Generation Z
101,32,F,Region 2 - Cagayan,Luzon,False,0,0,1,0,12.5,1.0,3275.442647404905,2,1,1,3275.442647404905,Millennial
102,18,F,Region 5 - Bicol,Luzon,True,1,1,1,1,43.0,2.0,7978.252166408345,2,2,2,3989.1260832041726,Generation Z
103,34,F,NCR,Luzon,False,0,0,1,0,14.0,1.0,3039.06058244221,1,1,1,3039.06058244221,Millennial
104,17,F,Region 11 - Davao,Mindanao,True,2,1,0,1,47.0,3.0,26685.4938495833,1,3,3,8895.164616527767,Generation Z
105,31,F,MIMAROPA,Luzon,True,0,0,1,1,70.0,1.0,7015.43996470893,1,1,1,7015.43996470893,Millennial
106,25,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,9.0,1.0,2744.45101347837,1,1,1,2744.45101347837,Generation Z
107,27,F,NCR,Luzon,True,1,1,1,1,51.0,1.3333333333333333,12569.916661069583,3,1,2,9427.437495802187,Millennial
108,46,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,16.0,1.0,1000.0,1,1,1,1000.0,Generation X
109,26,F,NCR,Luzon,False,0,0,1,0,28.0,2.0,11044.453982730163,3,1,4,5522.226991365082,Generation Z
110,33,M,Region 11 - Davao,Mindanao,True,0,0,0,1,61.0,1.0,14687.6939020743,1,1,1,14687.6939020743,Millennial
111,18,M,Region 8 - E. Visayas,Visayas,False,0,0,0,0,41.0,1.0,9531.352364080945,2,1,1,9531.352364080945,Generation Z
112,17,M,Region 10 - N. Mindanao,Mindanao,False,0,0,0,0,8.0,1.0,3001.85159090031,1,1,1,3001.85159090031,Generation Z
113,43,M,Region 13 - Caraga,Mindanao,False,0,0,0,0,19.0,1.0,2335.38379940013,1,1,1,2335.38379940013,Generation X
114,43,M,MIMAROPA,Luzon,True,0,0,1,1,24.333333333333332,2.0,9759.725540491747,3,1,3,4879.862770245873,Generation X
115,29,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,16.0,1.0,3245.41757682818,1,1,1,3245.41757682818,Millennial
116,25,F,Region 12 - SOCCKSARGEN,Mindanao,False,0,0,0,0,53.0,2.0,29259.23718200215,2,1,3,14629.618591001075,Generation Z
117,29,M,Region 3 - Central Luzon,Luzon,True,1,1,1,1,17.0,2.0,5024.161200373255,2,1,3,2512.0806001866276,Millennial
118,36,M,NCR,Luzon,True,0,0,1,1,36.0,2.0,23765.123495056127,2,2,2,11882.561747528063,Millennial
119,52,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,51.666666666666664,1.6666666666666667,10209.499627656343,3,1,3,6125.699776593806,Generation X
120,29,F,CAR,Luzon,False,0,0,1,0,16.666666666666668,1.0,4275.890435057863,3,1,1,4275.890435057863,Millennial
121,45,M,Region 2 - Cagayan,Luzon,False,0,0,1,0,29.5,3.0,19888.23127164065,2,1,5,6629.4104238802165,Generation X
122,43,M,Region 1 - Ilocos,Luzon,False,0,0,1,0,32.0,1.6666666666666667,5341.63350258812,3,1,3,3204.980101552872,Generation X
123,33,M,Region 6 - W. Visayas,Visayas,True,1,1,0,1,18.5,4.0,16154.567539740041,2,3,5,4038.6418849350102,Millennial
124,45,F,NCR,Luzon,True,0,0,1,1,16.0,2.0,2269.51902959495,1,2,2,1134.759514797475,Generation X
125,26,F,Region 4 - CALABARZON,Luzon,True,0,0,1,1,43.0,1.5,10085.037709492426,2,1,2,6723.358472994951,Generation Z
126,18,M,NCR,Luzon,False,0,0,1,0,31.333333333333332,3.3333333333333335,26728.73033287472,3,1,5,8018.619099862415,Generation Z
127,15,F,Region 8 - E. Visayas,Visayas,False,0,0,0,0,5.0,1.0,2711.60067081474,1,1,1,2711.60067081474,Generation Z
128,42,M,Region 1 - Ilocos,Luzon,False,0,0,1,0,42.0,1.0,7157.48782708785,2,1,1,7157.48782708785,Millennial
129,15,F,Region 8 - E. Visayas,Visayas,False,0,0,0,0,13.0,1.0,4119.34868949984,1,1,1,4119.34868949984,Generation Z
130,18,F,Region 6 - W. Visayas,Visayas,False,0,0,0,0,35.5,1.0,6657.02454512321,2,1,1,6657.02454512321,Generation Z
131,46,M,Region 5 - Bicol,Luzon,False,0,0,1,0,36.0,1.0,9944.417793931076,2,1,1,9944.417793931076,Generation X
132,39,M,Region 6 - W. Visayas,Visayas,True,0,0,0,1,35.0,3.0,25855.41124126141,2,2,4,8618.470413753803,Millennial
133,35,M,NCR,Luzon,False,0,0,1,0,14.0,3.0,3038.49019832608,1,3,3,1012.8300661086934,Millennial
134,18,F,Region 9 - Zamboanga,Mindanao,True,0,0,0,1,41.5,1.5,5157.80266487456,2,1,2,3438.535109916373,Generation Z
135,57,F,Region 2 - Cagayan,Luzon,False,2,1,1,0,31.5,2.0,9380.274878286626,2,1,3,4690.137439143313,Generation X
136,20,F,Region 11 - Davao,Mindanao,True,0,0,0,1,14.0,3.0,2789.86590788702,1,3,3,929.9553026290067,Generation Z
137,20,F,Region 2 - Cagayan,Luzon,False,0,0,1,0,15.0,2.0,4307.36921291858,2,1,3,2153.68460645929,Generation Z
138,37,F,MIMAROPA,Luzon,False,0,0,1,0,58.5,2.5,31802.717317061797,2,1,4,12721.086926824719,Millennial
139,31,F,Region 10 - N. Mindanao,Mindanao,True,1,1,0,1,41.0,4.0,31973.642576079026,2,3,5,7993.410644019757,Millennial
140,26,M,Region 10 - N. Mindanao,Mindanao,True,0,0,0,1,17.5,2.0,6229.93182923864,2,1,3,3114.96591461932,Generation Z
141,19,F,Region 6 - W. Visayas,Visayas,True,0,0,0,1,38.333333333333336,3.0,34268.94731018053,3,2,4,11422.982436726843,Generation Z
142,17,M,Region 3 - Central Luzon,Luzon,True,0,0,1,1,60.0,6.0,45660.349134734,1,6,6,7610.058189122334,Generation Z
143,24,M,Region 4 - CALABARZON,Luzon,True,1,1,1,1,39.0,2.25,14837.289406216882,4,1,4,6594.350847207503,Generation Z
144,15,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,28.333333333333332,1.0,4199.949113129233,3,1,1,4199.949113129233,Generation Z
145,30,M,Region 10 - N. Mindanao,Mindanao,False,0,0,0,0,20.0,3.0,3124.274810273585,2,3,3,1041.4249367578616,Millennial
146,35,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,13.5,1.0,2093.2372411780652,2,1,1,2093.2372411780652,Millennial
147,15,M,MIMAROPA,Luzon,False,0,0,1,0,55.0,1.0,10160.0460302353,1,1,1,10160.0460302353,Generation Z
148,38,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,12.0,1.0,1504.49399225226,1,1,1,1504.49399225226,Millennial
149,39,M,Region 12 - SOCCKSARGEN,Mindanao,False,0,0,0,0,12.5,2.0,4800.704213130035,2,1,3,2400.3521065650175,Millennial
150,31,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,17.0,2.0,2820.18815858704,2,1,3,1410.09407929352,Millennial
151,15,M,Region 12 - SOCCKSARGEN,Mindanao,True,0,0,0,1,29.333333333333332,4.0,16747.919917490777,3,3,5,4186.979979372694,Generation Z
152,35,F,Region 6 - W. Visayas,Visayas,True,0,0,0,1,18.0,5.0,2045.74827371897,1,5,5,409.14965474379403,Millennial
153,32,F,CAR,Luzon,False,0,0,1,0,40.5,1.0,8465.412564967295,2,1,1,8465.412564967295,Millennial
154,22,F,MIMAROPA,Luzon,False,0,0,1,0,55.0,4.0,25767.6663406192,1,4,4,6441.9165851548,Generation Z
155,29,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,50.0,1.0,9311.22717685743,1,1,1,9311.22717685743,Millennial
156,27,M,Region 1 - Ilocos,Luzon,False,0,0,1,0,14.0,2.0,7984.908736320444,2,1,3,3992.454368160222,Millennial
157,47,M,NCR,Luzon,True,0,0,1,1,64.0,3.0,14061.8745345032,1,3,3,4687.291511501066,Generation X
158,27,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,54.0,2.0,24270.1713956616,2,1,3,12135.0856978308,Millennial
159,31,F,NCR,Luzon,True,2,1,1,1,56.0,2.0,23098.5147915695,1,2,2,11549.25739578475,Millennial
160,23,M,Region 3 - Central Luzon,Luzon,True,1,1,1,1,64.0,3.5,35325.320807218755,2,3,4,10092.948802062501,Generation Z
161,25,F,Region 3 - Central Luzon,Luzon,False,0,0,1,0,60.0,3.0,31108.0971751397,1,3,3,10369.365725046568,Generation Z
162,33,Other,Region 3 - Central Luzon,Luzon,False,0,0,1,0,16.0,1.0,2144.81784239038,1,1,1,2144.81784239038,Millennial
163,28,F,MIMAROPA,Luzon,True,0,0,1,1,24.75,2.5,11482.370594108179,4,1,3,4592.948237643272,Millennial
164,25,M,Region 1 - Ilocos,Luzon,True,0,0,1,1,16.0,2.5,6369.043349619014,2,1,4,2547.6173398476058,Generation Z
165,20,F,Region 4 - CALABARZON,Luzon,True,2,1,1,1,45.0,1.5,8900.691588624635,2,1,2,5933.794392416424,Generation Z
166,27,F,Region 10 - N. Mindanao,Mindanao,False,0,0,0,0,53.0,3.0,58847.8831422711,1,3,3,19615.9610474237,Millennial
167,36,F,NCR,Luzon,False,0,0,1,0,17.0,1.0,1576.57881044829,1,1,1,1576.57881044829,Millennial
168,18,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,62.0,1.0,5952.23947483124,1,1,1,5952.23947483124,Generation Z
169,48,F,Region 13 - Caraga,Mindanao,True,1,1,0,1,20.0,2.0,1290.52074423887,1,2,2,645.260372119435,Generation X
170,30,M,BARMM,Mindanao,True,1,1,0,1,17.0,2.5,12220.16660970654,2,1,4,4888.0666438826165,Millennial
171,32,M,Region 10 - N. Mindanao,Mindanao,False,0,0,0,0,58.0,1.0,6126.57122155434,1,1,1,6126.57122155434,Millennial
172,43,F,Region 6 - W. Visayas,Visayas,False,0,0,0,0,63.0,1.0,11301.97650307561,2,1,1,11301.97650307561,Generation X
173,30,M,Region 4 - CALABARZON,Luzon,True,1,1,1,1,33.0,2.5,20571.6820370431,2,1,4,8228.67281481724,Millennial
174,38,F,CAR,Luzon,True,0,0,1,1,15.0,2.5,8189.20090533989,2,2,3,3275.680362135956,Millennial
175,15,F,Region 7 - C. Visayas,Visayas,False,0,0,0,0,17.0,1.0,2511.67714620174,1,1,1,2511.67714620174,Generation Z
176,35,F,Region 12 - SOCCKSARGEN,Mindanao,False,0,0,0,0,16.0,1.0,1480.6147622569467,3,1,1,1480.6147622569467,Millennial
177,55,F,BARMM,Mindanao,False,0,0,0,0,16.0,1.0,1441.20126346732,1,1,1,1441.20126346732,Generation X
178,34,F,Region 10 - N. Mindanao,Mindanao,True,0,0,0,1,19.5,3.0,3635.369175989365,2,1,5,1211.7897253297883,Millennial
179,32,Other,Region 6 - W. Visayas,Visayas,True,1,1,0,1,61.0,2.0,28846.6890528697,2,1,3,14423.34452643485,Millennial
180,15,F,NCR,Luzon,False,0,0,1,0,65.0,1.0,10356.0647942959,1,1,1,10356.0647942959,Generation Z
181,21,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,71.0,1.0,4575.90431869381,1,1,1,4575.90431869381,Generation Z
182,30,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,58.0,3.0,42040.4291873744,1,3,3,14013.476395791467,Millennial
183,26,F,Region 1 - Ilocos,Luzon,False,0,0,1,0,13.0,1.0,2540.542203946615,2,1,1,2540.542203946615,Generation Z
184,41,M,Region 11 - Davao,Mindanao,False,0,0,0,0,38.0,1.0,12202.380626528022,2,1,1,12202.380626528022,Millennial
185,38,M,Region 4 - CALABARZON,Luzon,False,0,0,1,0,50.0,2.0,18453.3856650538,2,1,3,9226.6928325269,Millennial
186,31,Other,Region 4 - CALABARZON,Luzon,True,0,0,1,1,39.0,4.5,28661.27487463255,2,4,5,6369.172194362789,Millennial
187,45,F,Region 7 - C. Visayas,Visayas,True,0,0,0,1,12.5,2.5,4406.220543579105,2,2,3,1762.488217431642,Generation X
188,34,F,BARMM,Mindanao,False,0,0,0,0,47.0,3.0,17453.3296674664,1,3,3,5817.776555822134,Millennial
189,28,F,Region 6 - W. Visayas,Visayas,False,0,0,0,0,58.0,3.0,30975.9797728695,1,3,3,10325.3265909565,Millennial
190,25,F,Region 5 - Bicol,Luzon,False,0,0,1,0,16.0,2.0,4253.204530713425,2,1,3,2126.6022653567125,Generation Z
191,35,M,Region 1 - Ilocos,Luzon,False,1,1,1,0,55.0,1.0,14503.2373657181,1,1,1,14503.2373657181,Millennial
192,25,M,Region 7 - C. Visayas,Visayas,False,0,0,0,0,13.0,3.0,21184.502073013,1,3,3,7061.500691004334,Generation Z
193,38,M,NCR,Luzon,False,0,0,1,0,11.0,3.0,2408.82714021586,1,3,3,802.9423800719533,Millennial
194,33,M,Region 3 - Central Luzon,Luzon,True,0,0,1,1,44.0,3.3333333333333335,11987.120218272546,3,2,5,3596.1360654817636,Millennial
195,43,M,Region 12 - SOCCKSARGEN,Mindanao,False,0,0,0,0,39.75,3.25,20461.194181715346,4,1,8,6295.752055912414,Generation X
196,38,M,Region 1 - Ilocos,Luzon,False,0,0,1,0,45.0,5.0,51701.8782123072,1,5,5,10340.37564246144,Millennial
197,39,M,Region 7 - C. Visayas,Visayas,False,0,0,0,0,18.0,2.0,7294.363345854459,2,1,3,3647.1816729272296,Millennial
198,26,M,Region 4 - CALABARZON,Luzon,True,1,1,1,1,7.0,3.0,2668.79984253517,1,3,3,889.5999475117233,Generation Z
199,26,M,Region 3 - Central Luzon,Luzon,False,0,0,1,0,36.0,4.5,27139.300388020252,2,4,5,6030.955641782279,Generation Z
200,30,M,Region 1 - Ilocos,Luzon,False,0,0,1,0,11.0,3.5,29153.687442418446,2,1,6,8329.624983548127,Millennial
201,16,F,Region 4 - CALABARZON,Luzon,False,0,0,1,0,38.5,1.0,8174.942477690514,2,1,1,8174.942477690514,Generation Z
